"quad","year","totCover","group"
"Q5",36,373.433129665148,"E1"
"Q5",42,560.718984748469,"E1"
"Q6",32,516.02803046365,"E1"
"Q6",35,319.625363204394,"E1"
"Q6",47,490.528959132349,"E1"
"Q6",54,1004.3424344598,"E1"
"Q6",50,636.361891224059,"E1"
"Q6",52,872.165404569273,"E1"
"Q6",45,688.210590970261,"E1"
"Q6",37,214.969747950539,"E1"
"Q6",36,168.561705910349,"E1"
"Q6",51,490.074146745421,"E1"
"Q6",34,298.414291843288,"E1"
"Q6",38,310.812495788059,"E1"
"Q6",55,1053.78061166026,"E1"
"Q6",40,429.895635986589,"E1"
"Q6",56,806.749782550974,"E1"
"Q6",42,205.253265115694,"E1"
"Q6",49,619.144210878799,"E1"
"Q6",33,743.567505273946,"E1"
"Q6",46,546.245593985079,"E1"
"Q6",39,359.26800393496,"E1"
"Q6",41,209.142880410525,"E1"
"Q7",26,26.4095090026118,"P1E1"
"Q7",36,1292.48057205675,"P1E1"
"Q7",33,1489.57842517356,"P1E1"
"Q7",35,1130.55095767045,"P1E1"
"Q7",41,1852.09962845814,"P1E1"
"Q7",34,940.894998403652,"P1E1"
"Q7",40,2138.48698512015,"P1E1"
"Q7",52,0.25,"P1E1"
"Q7",37,1840.36417380669,"P1E1"
"Q7",38,2051.90528012422,"P1E1"
"Q7",42,1182.16122761673,"P1E1"
"Q7",32,772.806472123614,"P1E1"
"Q7",39,2377.32872426473,"P1E1"
"Q7",31,489.776083264666,"P1E1"
"Q7",29,173.702045221915,"P1E1"
"Q7",45,3890.00045392241,"P1E1"
"Q7",23,28.7110408955704,"P1E1"
"Q7",30,377.052162290651,"P1E1"
"Q8",35,2113.61488797932,"P1E1"
"Q8",40,1014.29272821268,"P1E1"
"Q8",30,442.358313532713,"P1E1"
"Q8",27,219.150951259462,"P1E1"
"Q8",33,1568.23706194608,"P1E1"
"Q8",55,1471.5194059943,"P1E1"
"Q8",45,1791.51152843126,"P1E1"
"Q8",42,861.920702288301,"P1E1"
"Q8",41,1141.76102921134,"P1E1"
"Q8",37,2128.98340770987,"P1E1"
"Q8",34,1537.89810989677,"P1E1"
"Q8",57,644.63539279255,"P1E1"
"Q8",52,903.534267274786,"P1E1"
"Q8",39,1799.61948425496,"P1E1"
"Q8",36,2106.8374721963,"P1E1"
